/Phi0 X,/Phi0 Y,/Phi1 X,/Phi1 Y,/Phi2 X,/Phi2 Y,/PhiMSBadd X,/PhiMSBadd Y,/PhiMSBrst X,/PhiMSBrst Y,/Phiacc X,/Phiacc Y,/Phioutadd X,/Phioutadd Y,/Phioutrst X,/Phioutrst Y,/VC0 X,/VC0 Y,/VC1 X,/VC1 Y,/VC2 X,/VC2 Y,/Vcout X,/Vcout Y,/dvalid X,/dvalid Y,/ip X,/ip Y
2.00010532016356e-09,0,2.00010532016356e-09,0,2.00010532016356e-09,0,2.00010532016356e-09,-2.10149136643825e-06,2.00010532016356e-09,-6.828375789256815e-07,2.00010532016356e-09,0,2.00010532016356e-09,-6.827127680746015e-07,2.00010532016356e-09,1,2.00010532016356e-09,-6.071197136969923e-06,2.00010532016356e-09,-2.471023325975874e-06,2.00010532016356e-09,4.818301182287966e-06,2.00010532016356e-09,2.01033211813108e-08,2.00010532016356e-09,0,2.00010532016356e-09,0
2.000106617772621e-09,0,2.000106617772621e-09,0,2.000106617772621e-09,0,2.000106617772621e-09,-2.090101941413815e-06,2.000106617772621e-09,-6.781318337193439e-07,2.000106617772621e-09,0,2.000106617772621e-09,-6.779750538947512e-07,2.000106617772621e-09,1,2.000106617772621e-09,-6.000849345841271e-06,2.000106617772621e-09,-2.352885713200789e-06,2.000106617772621e-09,4.897895890883903e-06,2.000106617772621e-09,2.062612017430154e-08,2.000106617772621e-09,0,2.000106617772621e-09,0
2.000109212990744e-09,0,2.000109212990744e-09,0,2.000109212990744e-09,0,2.000109212990744e-09,-2.063885976463343e-06,2.000109212990744e-09,-6.671688308863091e-07,2.000109212990744e-09,0,2.000109212990744e-09,-6.669598291622442e-07,2.000109212990744e-09,1,2.000109212990744e-09,-5.928420680261647e-06,2.000109212990744e-09,-2.173958380849465e-06,2.000109212990744e-09,5.033133329282221e-06,2.000109212990744e-09,2.136002649771503e-08,2.000109212990744e-09,0,2.000109212990744e-09,0
2.000114403426989e-09,0,2.000114403426989e-09,0,2.000114403426989e-09,0,2.000114403426989e-09,-2.010975096426449e-06,2.000114403426989e-09,-6.438991620933051e-07,2.000114403426989e-09,0,2.000114403426989e-09,-6.43630135745904e-07,2.000114403426989e-09,1,2.000114403426989e-09,-5.944197516515927e-06,2.000114403426989e-09,-1.965807943587571e-06,2.000114403426989e-09,5.233435056186674e-06,2.000114403426989e-09,2.20672784204332e-08,2.000114403426989e-09,0,2.000114403426989e-09,0
2.00012478429948e-09,0,2.00012478429948e-09,0,2.00012478429948e-09,0,2.00012478429948e-09,-1.933173585700535e-06,2.00012478429948e-09,-6.053371919734235e-07,2.00012478429948e-09,0,2.00012478429948e-09,-6.050533026241763e-07,2.00012478429948e-09,1,2.00012478429948e-09,-6.203305133877426e-06,2.00012478429948e-09,-1.835291721594029e-06,2.00012478429948e-09,5.46577932916e-06,2.00012478429948e-09,2.226821052678683e-08,2.00012478429948e-09,0,2.00012478429948e-09,0
2.000145546044461e-09,0,2.000145546044461e-09,0,2.000145546044461e-09,0,2.000145546044461e-09,-1.871893849312689e-06,2.000145546044461e-09,-5.652253348905211e-07,2.000145546044461e-09,0,2.000145546044461e-09,-5.650159745041709e-07,2.000145546044461e-09,1,2.000145546044461e-09,-6.750829173682997e-06,2.000145546044461e-09,-1.899371427099425e-06,2.000145546044461e-09,5.640071755399898e-06,2.000145546044461e-09,2.197775849985978e-08,2.000145546044461e-09,0,2.000145546044461e-09,0
2.000187069534423e-09,0,2.000187069534423e-09,0,2.000187069534423e-09,0,2.000187069534423e-09,-1.851749287093625e-06,2.000187069534423e-09,-5.4034734507308e-07,2.000187069534423e-09,0,2.000187069534423e-09,-5.4018490365744e-07,2.000187069534423e-09,1,2.000187069534423e-09,-7.380462976391984e-06,2.000187069534423e-09,-2.078922725135481e-06,2.000187069534423e-09,5.741508353460572e-06,2.000187069534423e-09,2.228692785460855e-08,2.000187069534423e-09,0,2.000187069534423e-09,0
2.000206954682983e-09,0,2.000206954682983e-09,0,2.000206954682983e-09,0,2.000206954682983e-09,-1.839341704365196e-06,2.000206954682983e-09,-5.320425024563772e-07,2.000206954682983e-09,0,2.000206954682983e-09,-5.318564704683626e-07,2.000206954682983e-09,1,2.000206954682983e-09,-7.531760215842891e-06,2.000206954682983e-09,-2.09412710064737e-06,2.000206954682983e-09,5.791930254176378e-06,2.000206954682983e-09,2.266065398998164e-08,2.000206954682983e-09,0,2.000206954682983e-09,0
2.000246724980102e-09,0,2.000246724980102e-09,0,2.000246724980102e-09,0,2.000246724980102e-09,-1.796687844293025e-06,2.000246724980102e-09,-5.10647502329032e-07,2.000246724980102e-09,0,2.000246724980102e-09,-5.10439679044065e-07,2.000246724980102e-09,1,2.000246724980102e-09,-7.681776943380098e-06,2.000246724980102e-09,-2.034050827127082e-06,2.000246724980102e-09,5.911894897381203e-06,2.000246724980102e-09,2.328262001543122e-08,2.000246724980102e-09,0,2.000246724980102e-09,0
2.00032626557434e-09,0,2.00032626557434e-09,0,2.00032626557434e-09,0,2.00032626557434e-09,-1.679059541746827e-06,2.00032626557434e-09,-4.638575262662831e-07,2.00032626557434e-09,0,2.00032626557434e-09,-4.636208356838191e-07,2.00032626557434e-09,1,2.00032626557434e-09,-7.547321106887337e-06,2.00032626557434e-09,-1.670860485024445e-06,2.00032626557434e-09,6.192743008144294e-06,2.00032626557434e-09,2.459848117208327e-08,2.00032626557434e-09,0,2.00032626557434e-09,0
2.000485346762816e-09,0,2.000485346762816e-09,0,2.000485346762816e-09,0,2.000485346762816e-09,-1.399575918736856e-06,2.000485346762816e-09,-3.687875568267953e-07,2.000485346762816e-09,0,2.000485346762816e-09,-3.685135647351944e-07,2.000485346762816e-09,1,2.000485346762816e-09,-6.508136126757601e-06,2.000485346762816e-09,-5.532842072614224e-07,2.000485346762816e-09,6.789969502004786e-06,2.000485346762816e-09,2.713086598888713e-08,2.000485346762816e-09,0,2.000485346762816e-09,0
