/D1 (d_del=1e-10) X,/D1 (d_del=1e-10) Y,/D1 (d_del=2e-10) X,/D1 (d_del=2e-10) Y,/D1 (d_del=3e-10) X,/D1 (d_del=3e-10) Y,/I0/output (d_del=1e-10) X,/I0/output (d_del=1e-10) Y,/I0/output (d_del=2e-10) X,/I0/output (d_del=2e-10) Y,/I0/output (d_del=3e-10) X,/I0/output (d_del=3e-10) Y,/V0/MINUS (d_del=1e-10) X,/V0/MINUS (d_del=1e-10) Y,/V0/MINUS (d_del=2e-10) X,/V0/MINUS (d_del=2e-10) Y,/V0/MINUS (d_del=3e-10) X,/V0/MINUS (d_del=3e-10) Y
1.500044924659685e-09,0,1.485744704096598e-09,0,1.54468835318405e-09,0,1.500044924659685e-09,3.758609341666734e-08,1.485744704096598e-09,-1.006469661125629e-06,1.54468835318405e-09,-1.546012107802113e-05,1.500044924659685e-09,-6.069810972410799e-09,1.485744704096598e-09,1.014476844617275e-06,1.54468835318405e-09,1.57228507387769e-05
1.620585482501692e-09,0,1.526624724614672e-09,0,1.588394062008792e-09,0,1.620585482501692e-09,-3.930951508428608e-08,1.526624724614672e-09,-3.388020296234397e-07,1.588394062008792e-09,-6.21455572024893e-06,1.620585482501692e-09,7.861296141654665e-09,1.526624724614672e-09,3.554762702100511e-07,1.588394062008792e-09,6.31167379718223e-06
1.780585482501692e-09,0,1.575874201594391e-09,0,1.629511297238502e-09,0,1.780585482501692e-09,3.949925755593998e-08,1.575874201594391e-09,-1.263548246143621e-07,1.629511297238502e-09,-2.298123633310883e-06,1.780585482501692e-09,-8.030639111726863e-09,1.575874201594391e-09,1.181980930281614e-07,1.629511297238502e-09,2.352866157803881e-06
1.890292741250846e-09,0,1.649148894638456e-09,0,1.665528113519973e-09,0,1.890292741250846e-09,-3.96141309111707e-08,1.649148894638456e-09,1.749193216836822e-08,1.665528113519973e-09,-1.066766471015364e-06,1.890292741250846e-09,8.185058886120482e-09,1.649148894638456e-09,-7.30499371504597e-09,1.665528113519973e-09,1.073304590010128e-06
2e-09,0,1.753872188632995e-09,0,1.705907480234669e-09,0,2e-09,3.962370675683641e-08,1.753872188632995e-09,-2.634500379923154e-08,1.705907480234669e-09,-3.109673586142517e-07,2e-09,-8.172843878483072e-09,1.753872188632995e-09,1.634018043651474e-08,1.705907480234669e-09,3.296990772337495e-07
2.0015625e-09,0.01562500000000117,1.876936094316498e-09,0,1.757711209253426e-09,0,2.0015625e-09,-1.227863251443661e-06,1.876936094316498e-09,2.775563962837784e-08,1.757711209253426e-09,-1.589554753076041e-07,2.0015625e-09,-1.232222261747004e-06,1.876936094316498e-09,-1.774843892445812e-08,1.757711209253426e-09,1.488970463108854e-07
2.0046875e-09,0.04687500000000352,2e-09,0,1.830279256276973e-09,0,2.0046875e-09,-1.155811171160702e-06,2e-09,-2.800003554656559e-08,1.830279256276973e-09,5.365225738131541e-08,2.0046875e-09,-1.316842164450426e-06,2e-09,1.80288123067111e-08,1.830279256276973e-09,-4.163028870706744e-08
2.010937500000001e-09,0.1093750000000082,2.0015625e-09,0.007812500000000586,1.915139628138487e-09,0,2.010937500000001e-09,-1.022369464190358e-06,2.0015625e-09,-6.139250453103104e-07,1.915139628138487e-09,-6.324367292740855e-08,2.010937500000001e-09,-1.417720745679423e-06,2.0015625e-09,-6.165499510956413e-07,1.915139628138487e-09,5.142364354239104e-08
2.023437500000002e-09,0.2343750000000176,2.0046875e-09,0.02343750000000176,2e-09,0,2.023437500000002e-09,-9.042590516634082e-07,2.0046875e-09,-5.767347222427225e-07,2e-09,6.351871699108798e-08,2.023437500000002e-09,-1.478110411127173e-06,2.0046875e-09,-6.621483705488836e-07,2e-09,-5.167752267561556e-08
2.048437500000004e-09,0.4843750000000364,2.010937500000001e-09,0.05468750000000411,2.0025e-09,0.008333333333333132,2.048437500000004e-09,-2.56270873389872e-07,2.010937500000001e-09,-5.024252819366777e-07,2.0025e-09,-4.015683064964326e-07,2.048437500000004e-09,-9.001491405600493e-07,2.010937500000001e-09,-7.254892825955883e-07,2.0025e-09,-4.200377124099755e-07
