/Clk (d_del=4.225641e-10) X,/Clk (d_del=4.225641e-10) Y,/Clk (d_del=4.312821e-10) X,/Clk (d_del=4.312821e-10) Y,/D (d_del=4.225641e-10) X,/D (d_del=4.225641e-10) Y,/D (d_del=4.312821e-10) X,/D (d_del=4.312821e-10) Y,/Q (d_del=4.225641e-10) X,/Q (d_del=4.225641e-10) Y,/Q (d_del=4.312821e-10) X,/Q (d_del=4.312821e-10) Y
1.521139042110115e-10,1,1.521139042110115e-10,1,1.521139042110115e-10,0,1.521139042110115e-10,0,1.521139042110115e-10,0.0001009950923288849,1.521139042110115e-10,0.0001009950923288849
1.704951222499852e-10,1,1.704951222499852e-10,1,1.704951222499852e-10,0,1.704951222499852e-10,0,1.704951222499852e-10,3.321408358361293e-05,1.704951222499852e-10,3.321408358361293e-05
1.927088959903944e-10,1,1.927088959903944e-10,1,1.927088959903944e-10,0,1.927088959903944e-10,0,1.927088959903944e-10,8.37382406192574e-06,1.927088959903944e-10,8.37382406192574e-06
2.203479109701821e-10,1,2.203479109701821e-10,1,2.203479109701821e-10,0,2.203479109701821e-10,0,2.203479109701821e-10,1.230099363123549e-06,2.203479109701821e-10,1.230099363123549e-06
2.596561620143429e-10,1,2.596561620143429e-10,1,2.596561620143429e-10,0,2.596561620143429e-10,0,2.596561620143429e-10,5.152624746462444e-07,2.596561620143429e-10,5.152624746462444e-07
3.179366562302818e-10,1,3.179366562302818e-10,1,3.179366562302818e-10,0,3.179366562302818e-10,0,3.179366562302818e-10,-7.77218631746415e-08,3.179366562302818e-10,-7.77218631746415e-08
3.979366562302818e-10,1,3.979366562302818e-10,1,3.979366562302818e-10,0,3.979366562302818e-10,0,3.979366562302818e-10,2.739690500204252e-07,3.979366562302818e-10,2.739690500204252e-07
4.22564102564102e-10,1,4.31282051282051e-10,1,4.22564102564102e-10,0,4.31282051282051e-10,0,4.22564102564102e-10,-1.170089097753976e-07,4.31282051282051e-10,-1.123871517302715e-07
4.227153445512815e-10,1,4.314162660256407e-10,1,4.227153445512815e-10,0,4.314162660256407e-10,0,4.227153445512815e-10,1.763294222019011e-07,4.314162660256407e-10,1.813845992965601e-07
4.227909655448713e-10,1,4.314833733974356e-10,1,4.227909655448713e-10,0,4.314833733974356e-10,0,4.227909655448713e-10,1.71850668011665e-07,4.314833733974356e-10,1.78120283011338e-07
4.229422075320508e-10,1,4.316175881410252e-10,1,4.229422075320508e-10,0,4.316175881410252e-10,0,4.229422075320508e-10,1.500645065097346e-07,4.316175881410252e-10,1.558899225405808e-07
4.232446915064098e-10,1,4.318860176282046e-10,1,4.232446915064098e-10,0,4.318860176282046e-10,0,4.232446915064098e-10,1.340423889365343e-07,4.318860176282046e-10,1.415884364637112e-07
4.238496594551278e-10,1,4.324228766025632e-10,1,4.238496594551278e-10,0,4.324228766025632e-10,0,4.238496594551278e-10,9.891686788657242e-08,4.324228766025632e-10,1.042307634674373e-07
4.250595953525638e-10,1,4.334965945512805e-10,1,4.250595953525638e-10,0,4.334965945512805e-10,0,4.250595953525638e-10,8.866071227361281e-08,4.334965945512805e-10,9.18256364976165e-08
4.274794671474358e-10,1,4.356440304487151e-10,1,4.274794671474358e-10,0,4.356440304487151e-10,0,4.274794671474358e-10,8.293377831024605e-08,4.356440304487151e-10,8.220738910323537e-08
4.323192107371799e-10,1,4.399389022435843e-10,1,4.323192107371799e-10,0,4.399389022435843e-10,0,4.323192107371799e-10,9.621299674273275e-08,4.399389022435843e-10,9.787415341855432e-08
4.419986979166681e-10,1,4.485286458333227e-10,1,4.419986979166681e-10,0,4.485286458333227e-10,0,4.419986979166681e-10,8.638827413758415e-08,4.485286458333227e-10,8.66861114637364e-08
4.613576722756443e-10,1,4.657081330127995e-10,1,4.613576722756443e-10,0,4.657081330127995e-10,0,4.613576722756443e-10,9.405720784915618e-08,4.657081330127995e-10,9.454223444305398e-08
5e-10,1,5e-10,1,5e-10,0,5e-10,0,5e-10,8.643393241604639e-08,5e-10,8.598261166561024e-08
5.0078125e-10,0.9843750000000009,5.0078125e-10,0.9843750000000009,5.0078125e-10,0,5.0078125e-10,0,5.0078125e-10,-0.001594506165630797,5.0078125e-10,-0.001594506059920339
5.023437499999999e-10,0.9531250000000027,5.023437499999999e-10,0.9531250000000027,5.023437499999999e-10,0,5.023437499999999e-10,0,5.023437499999999e-10,-0.004179960254002457,5.023437499999999e-10,-0.004179959841551884
5.054687499999997e-10,0.8906250000000062,5.054687499999997e-10,0.8906250000000062,5.054687499999997e-10,0,5.054687499999997e-10,0,5.054687499999997e-10,-0.006832122234788707,5.054687499999997e-10,-0.006832115777150123
